libraryName,locID,repID,znID
HZHAU,P2,a,-Zn
HZHAW,P2,b,-Zn
HZHAX,P2,c,-Zn
HZHAY,P2,a,+Zn
HZHAZ,P2,b,+Zn
HZHBA,P2,c,+Zn
HZHCG,P13,a,-Zn
HZHCH,P13,b,-Zn
HZHCN,P13,c,-Zn
HZHCO,P13,b,+Zn
HZHCP,P13,c,+Zn
HZHBY,P1,a,-Zn
HZHBZ,P1,b,-Zn
HZHCA,P1,c,-Zn
HZHCB,P1,a,+Zn
HZHCC,P1,b,+Zn
HZHBP,PD14,a,-Zn
HZHBS,PD14,b,-Zn
HZHBT,PD14,c,-Zn
HZHBU,PD14,a,+Zn
HZHBW,PD14,b,+Zn
HZHBX,PD14,c,+Zn
HZHBB,LMD7,a,-Zn
HZHBC,LMD7,b,-Zn
HZHBG,LMD7,c,-Zn
HZHBH,LMD7,a,+Zn
HZHBN,LMD7,b,+Zn
HZHBO,LMD7,c,+Zn
HZHAH,PD13,a,-Zn
HZHAN,PD13,b,-Zn
HZHAO,PD13,c,-Zn
HZHAP,PD13,a,+Zn
HZHAS,PD13,b,+Zn
HZHAT,PD13,c,+Zn
HZGZY,Sl20,a,-Zn
HZGZZ,Sl20,b,-Zn
HZHAA,Sl20,c,-Zn
HZHAB,Sl20,a,+Zn
HZHAC,Sl20,b,+Zn
HZHAG,Sl20,c,+Zn
HZGZB,LM5,a,-Zn
HZGZC,LM5,b,-Zn
HZGZG,LM5,c,-Zn
HZGZH,LM5,a,+Zn
HZGZN,LM5,b,+Zn
HZGZO,LM5,c,+Zn
HZGZP,LM12,a,-Zn
HZGZS,LM12,b,-Zn
HZGZT,LM12,c,-Zn
HZGZU,LM12,a,+Zn
HZGZW,LM12,b,+Zn
HZGZX,LM12,c,+Zn
HZGYU,LM3,a,-Zn
HZGYW,LM3,b,-Zn
HZGYX,LM3,c,-Zn
HZGYY,LM3,a,+Zn
HZGYZ,LM3,b,+Zn
HZGZA,LM3,c,+Zn